epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.942,1.33502,1.15389,1.02064,0.99859,0.9995,0.99499,0.64598,1.17147,0.5825,1.0399,0.00333,0.00333,0.00333
2,149.691,1.31318,0.68352,0.99872,0.99898,0.9995,0.995,0.69866,1.0482,0.48127,0.98455,0.00649842,0.00649842,0.00649842
3,218.202,1.32493,0.63692,1.00467,0.99701,0.99954,0.99499,0.68637,1.1001,0.49762,1.01307,0.00950183,0.00950183,0.00950183
4,285.39,1.30954,0.60108,0.99773,0.99909,1,0.995,0.71227,1.09528,0.43273,0.99578,0.0092575,0.0092575,0.0092575
5,352.612,1.27825,0.56636,0.98752,0.99964,1,0.995,0.72316,1.05048,0.4187,0.97816,0.00901,0.00901,0.00901
6,419.25,1.2662,0.55076,0.9822,1,0.99935,0.995,0.71364,1.07666,0.41677,0.98639,0.0087625,0.0087625,0.0087625
7,485.338,1.25522,0.54092,0.97688,0.99936,1,0.995,0.72553,1.05556,0.4071,0.97861,0.008515,0.008515,0.008515
8,551.275,1.24628,0.52957,0.9723,0.99944,1,0.995,0.72854,1.05906,0.39841,0.9777,0.0082675,0.0082675,0.0082675
9,617.041,1.23805,0.52154,0.97225,0.99885,1,0.995,0.72449,1.04528,0.38973,0.97788,0.00802,0.00802,0.00802
10,683.857,1.2348,0.51813,0.96965,0.99943,1,0.995,0.71639,1.07609,0.39397,0.98007,0.0077725,0.0077725,0.0077725
11,750.343,1.22941,0.50791,0.96755,0.99982,1,0.995,0.73149,1.03192,0.37709,0.96673,0.007525,0.007525,0.007525
12,816.145,1.22199,0.50161,0.96699,0.99987,1,0.995,0.72597,1.06315,0.38014,0.96933,0.0072775,0.0072775,0.0072775
13,883.039,1.21591,0.49726,0.9623,0.99989,1,0.995,0.73722,1.01756,0.36595,0.96556,0.00703,0.00703,0.00703
14,949.307,1.21874,0.49756,0.96472,0.99996,1,0.995,0.73715,1.03243,0.36836,0.9651,0.0067825,0.0067825,0.0067825
15,1015.38,1.21188,0.49108,0.96238,0.99996,1,0.995,0.73151,1.05626,0.36795,0.97181,0.006535,0.006535,0.006535
16,1081.45,1.21101,0.48522,0.96172,0.99983,1,0.995,0.73518,1.03893,0.35282,0.9676,0.0062875,0.0062875,0.0062875
17,1147.55,1.20149,0.48504,0.96027,0.99994,1,0.995,0.72295,1.07294,0.36628,0.97483,0.00604,0.00604,0.00604
18,1213.26,1.20209,0.48126,0.95835,0.99996,1,0.995,0.73901,1.03375,0.35612,0.96547,0.0057925,0.0057925,0.0057925
19,1279.85,1.19265,0.47519,0.95666,0.99996,1,0.995,0.73743,1.04329,0.34645,0.96632,0.005545,0.005545,0.005545
20,1346.29,1.19985,0.47442,0.95717,0.99984,1,0.995,0.7172,1.10077,0.36399,0.98775,0.0052975,0.0052975,0.0052975
21,1412.21,1.19833,0.4751,0.95431,0.99996,1,0.995,0.72878,1.05812,0.34426,0.96994,0.00505,0.00505,0.00505
22,1478.23,1.19293,0.46964,0.95478,0.99995,1,0.995,0.73493,1.04449,0.34254,0.96874,0.0048025,0.0048025,0.0048025
23,1544.02,1.18912,0.46685,0.95373,0.99996,1,0.995,0.72697,1.06778,0.34081,0.97034,0.004555,0.004555,0.004555
24,1610.28,1.18738,0.46155,0.95335,0.99996,1,0.995,0.7368,1.03316,0.33736,0.96241,0.0043075,0.0043075,0.0043075
25,1675.82,1.18535,0.46036,0.95413,0.99994,1,0.995,0.72452,1.06789,0.3397,0.97179,0.00406,0.00406,0.00406
26,1742.1,1.18,0.45873,0.95116,0.99996,1,0.995,0.74181,1.02881,0.32793,0.9612,0.0038125,0.0038125,0.0038125
27,1808.06,1.18123,0.4543,0.95344,0.99996,1,0.995,0.74333,1.02162,0.32858,0.95667,0.003565,0.003565,0.003565
28,1874.31,1.1768,0.45089,0.94916,0.99995,1,0.995,0.73273,1.05618,0.32599,0.96714,0.0033175,0.0033175,0.0033175
29,1940.46,1.17144,0.44732,0.94976,0.99996,1,0.995,0.73754,1.03516,0.32549,0.95985,0.00307,0.00307,0.00307
30,2006.21,1.17403,0.44604,0.94923,0.99996,1,0.995,0.73494,1.04017,0.32446,0.96136,0.0028225,0.0028225,0.0028225
31,2079.69,1.17989,0.42004,0.98971,0.99996,1,0.995,0.74698,1.00851,0.32107,0.95286,0.002575,0.002575,0.002575
32,2145.61,1.17899,0.41721,0.98876,0.99996,1,0.995,0.74343,1.01775,0.32335,0.95677,0.0023275,0.0023275,0.0023275
33,2211.27,1.17329,0.41429,0.98484,0.99997,1,0.995,0.74696,1.00571,0.3233,0.95284,0.00208,0.00208,0.00208
34,2276.5,1.1729,0.40901,0.98169,0.99997,1,0.995,0.74597,1.01346,0.3177,0.95356,0.0018325,0.0018325,0.0018325
35,3623.05,1.16917,0.40422,0.98067,0.99997,1,0.995,0.7492,1.00301,0.31595,0.95097,0.001585,0.001585,0.001585
36,3688.37,1.16442,0.39774,0.98173,0.99996,1,0.995,0.75048,1.00437,0.31218,0.95101,0.0013375,0.0013375,0.0013375
37,3754.79,1.16064,0.39478,0.97847,0.99996,1,0.995,0.74879,1.0042,0.3117,0.95107,0.00109,0.00109,0.00109
38,3820.44,1.16007,0.38834,0.97724,0.99997,1,0.995,0.74997,1.00112,0.30992,0.94853,0.0008425,0.0008425,0.0008425
39,3887.28,1.15547,0.38432,0.97718,0.99997,1,0.995,0.74891,1.0039,0.30985,0.94923,0.000595,0.000595,0.000595
40,3953.47,1.15277,0.37835,0.97828,0.99996,1,0.995,0.75161,1.00016,0.30985,0.94813,0.0003475,0.0003475,0.0003475
